userName,content,score
Eufronius sugyanto Tasman,Aplikasi nya kurang bagus,1
Vicky Fauzi,"Gimana ini gabisa masuk setelah update,, saya ada transaksi penting,, parah sih",1
Irfan Sukmawan,"Di update bukannya tambah bener, malah makin susah masuk..udah masuknya susah, sering bermasalah...",1
pur baya,Jadi sering gangguan sekarang.. susah utk masuk aplikasi..,3
Galih Niko,"Ga ngerti sih, cuman apk ini aja yang loading nya sampe 2jam itupun belum masuk, padahal sinyal kenceng HP pake poco x3 pro, ga ngerti.",1
agi arta,Haduh aplikasi kok lambat sekali gak sat set sat set,1
Lukman N Hikmawan,"Gimna ini aplikasi susah untuk login nya lama bener padahal ini saya lagi urgent, udh d coba di uninstall terus di bersihkan data tapi ttep aja susah untuk login nya",1
Varli Rizaldi,Lalod,1
Khadapi,"Aplikasinya lemot,sering eror",1
Dimas Heksa Putra,Jelek updatenya makin parah,1
putra indra pristian,Buruk kali aplikasi di update bukan nya makin bagus malah makin hancur sama sekali gk bisa dibuka aplikasinya,1
Saleh Jalpuz,Aneh banget gk bisa masuk jaringan padahal baguss,1
HERIYANTO Prasetyo,Apl Rusak. Makin di update bukannya makin bagus malah makin buruk,1
Mdilpiero17,Aplikasi sampah,1
k2kou putra,Menggangu pekerjaan saya.. Respon aplikasi lambat.. Sampe beli hp lagi yg lumayan tetep aja lambat.. Aplikasi lama lebih baik.. 😅,3
Rara Nevan,Sering nggak bisa di pake setelah di-update..pas butuh malah eror,1
Raffi Ansyah,Mencrettt,1
Noval Alfarizqi,"Jelek banget banyak kendala, hahaha",1
Fabiano Erlangga,"Ini kenapa sinyalnya lemot kalo buka octo mobile, padahal buka apk lain bagus sinyalnya",3
Budi Tea,Emng ini mobile bangking paling buruk di antara bank yang lain... Selaku deplover jangan cuma cari untung nya doang tapi kualitas sangat BURUK...,1
Nor Irsyat Adli,"Di update semakin ancur nih aplikasinya, gk bisa dibuka",1
Moh Mutollib,Sering error lemot,1
Muhamad Fadilah,"Tampilan jadi keren, tapi sekarang sering terjadi bug sidik jari. Tolong diperbaiki thanks",5
Andi Kardian,Bufering terus padahal sinyal bagus buka apk lain bisa lancar kecewa,1
Kilua Zoldyk,parah banget. kenapa kuota masih banyak gak bisa buka aplikasinya. padahal buka google uninstall dan download ulang aplikasinya bisa. tapi login gak bisa bisa. tolong dong di perbaiki. bingung ini apa nya yg eror,2
sony Kusaini,"Buruk, susah dibuka",1
Regina 92,Ga jelas Ga bisa masuk di Octo mobilenya Udah 1 jam buka ga bisa2 masuk parah bangat app kaya gini,1
Anwar Ibrahim lubis,Makin ke sini makin lambat mbanking yh tolong di perbaiki in lagi Tapi untuk karyawan karyawan cukup memuaskan ke customer customer yh,1
Najib Kailani,"Jaman gini pake mbanking masih lemot!!! Aneh sih ini, heran ya kok bisa gitu gak ada perbaikan, gak jelas, aplikasi loading parah bnget, kecewa sih",1
Agatha D,sehabis di update malah gabisa di buka mbankingnya kenapa ya?,1
AM Chanel,Aplikasi parah super lelet!!! Sinyal bagus masih aja muter2 anj**g!!!,1
Feri Arlan,Ko lemot si,2
Soni Pribadi,Habis update ngadat,2
Viery Vey,Parah aplikasi nya lambat ganguan terus merugikan mobiltas penguna... Kasi bintang 1 buat aplikasi yang lebih baik,1
Muhammad Dharu,"Aplikasi kebanyakan update, tapi gak ada kemajuan",1
NUGROHO DWI SANTOSO,"LEMOT pisan.Daritadi gak bisa masuk.Kuota banyak.Buat buka aplikasi selain octo,lancar.",1
Muhammad Ilham,"aplikasi per bank an yang paling gajelas , lemot , dan sering eror , kalo gasiap buat ada aplikasinya gausah ada , malah menuhi memory aja tapi aplikasi sampah",1
Reza Maulana,Terlalu sering bug sistem !,1
Bentar saputra,Ok lah,5
Icha Ginting,Mantap pokok nya👍,5
Demi erwin,"Bangaimana ini pelayananya sangat buruk, kartu saya di blokir di atm manapun tanpa ada keterangan dari kantornya, jadj nyesal pake CIMB",1
Rolis Adiwibowo,"tidak berfungsi di perangkat saya,kenapa ya ?",4
Aco Botto,ACl Gamestop,5
Ariza Dewi,Good,5
Junie Cassanova,Sangat membantu,5
Aji Wiratama,"Kok jadi ada keteranan Mohon maaf perangkat anda saat ini belum bisa untuk mengakses octo mobile, gimana ini??",3
Farhan Adipraza,apk spam,1
Frestly B Sihombing,👍,5
Yuwono,Ok,5
Frans Yogas Aria Putra,"Selama ini good service, belum tau setelah diupdate",5
Intan rmdhn,"Gatau, gapaham. Baru mau daftar udh ke blokir giliran menghubungi call center nya katanya ga keblokir. Jadi ga pernah bisa make",1
Yoel Andriyanto,Aplikasi aneh sering keluar sendiri (layar ketutup otomatis) setelah di buka...SANGAT MENGGANGGU SAAT INGIN MELAKUKAN TRANSFER BURU2,1
Lydia Grace,tapi potongan pajak besar,5
Marendra,Ok,5
Danil Ichtiawan,Membingungkan,1
ULO BAKOL,Kecewa bngett,1
sempol 456,sayang masih ada adminnya....,1
Liem Febri,Aplikasi yang selalu error jika mendaftar aplikasi sangat menjengkelkan 😤😤😤,5
Ruby Ulung,Bagus,5
M Ishlah,Mudah dan aman,5
Eunike Kylnie,Makin parah aja aplikasi ini Br buka lgsg blank out Diulang² tetep gt aja Bikin kesel 😓 Pas butuh cepet dia malah lelet poll,1
Irwan Iwan,octo mobile luar biasa,5
fatimah zain,Makin mudah dengan okto mobile,5
